cluster,feature,raw_median,raw_q1,raw_q3,raw_iqr,citywide_percentile_of_cluster_median,pct_deviation_from_50
5,bicycle_parking_count,0.0,0.0,0.0,0.0,49.7,0.3
6,bicycle_parking_count,0.0,0.0,0.0,0.0,49.7,0.3
0,distance_to_nearest_micromobility_parking_m,6546.515481425684,2595.468338994983,12300.290042120374,9704.821703125392,15.6,34.4
1,distance_to_nearest_micromobility_parking_m,3352.4604292968215,1609.362201232912,5457.638013807711,3848.275812574799,7.8,42.2
2,distance_to_nearest_micromobility_parking_m,3980.7061458169755,1620.952666914502,7072.69341748172,5451.740750567218,9.4,40.6
3,distance_to_nearest_micromobility_parking_m,4575.231687288706,1664.7679822185373,8703.196457730272,7038.428475511734,10.8,39.2
4,distance_to_nearest_micromobility_parking_m,48316.286054118675,41320.6228504739,55172.726625328345,13852.103774854448,82.5,32.5
5,distance_to_nearest_micromobility_parking_m,9831.002619967612,4235.81694483839,17583.424261973538,13347.607317135149,22.6,27.4
6,distance_to_nearest_micromobility_parking_m,18187.804220214093,11721.159299779947,25025.68818605267,13304.528886272723,40.0,10.0
0,micromobility_parking_count,0.0,0.0,0.0,0.0,49.8,0.2
1,micromobility_parking_count,0.0,0.0,0.0,0.0,49.8,0.2
2,micromobility_parking_count,0.0,0.0,0.0,0.0,49.8,0.2
3,micromobility_parking_count,0.0,0.0,0.0,0.0,49.8,0.2
4,micromobility_parking_count,0.0,0.0,0.0,0.0,49.8,0.2
5,micromobility_parking_count,0.0,0.0,0.0,0.0,49.8,0.2
6,micromobility_parking_count,0.0,0.0,0.0,0.0,49.8,0.2
